Number	이름	대화	이벤트	스킵라인	선택지	선택지개수	퀘스트ID	비고
61	샌들리 주민	필요한 게 있으면 맥의 가게에 가 봐.	종료	61				
								
62	샌들리 주민	남쪽에 있는 베카에 무슨 일이 생겼다는데... <br>잘 사는 놈들이 헛소문을 내는 걸 거야.	종료	62				
								
63	정신나간 주민	앙? 옵딘?	종료	63				
								
64	샌들리 주민	근래들어 해안가에 쏜이 너무 많아진 거 같은데... <br>누가 시장에게 말해 좀 처리해줬으면 좋겠군.	종료	64				
								
65	샌들리 주민 	동쪽에서 군인들이 돌아다닌다던데... <br>전쟁때 다 죽었을탠데 헛소리겠지?	종료	65				
								
66	거지	한.. 한푼만 줍쇼.....	선택지		17	2		
67	거지							선택지 표시 라인
68	거지	감사합니다. <br>나중에 꼭 복받으실겁니다....	종료	68				
								
69	거지	아아....	종료	66				
								
								
								
								
								
70	토니	뭐야?						
71	토니	내 프라이버시를 침해하다니! 여기서 나가!!	종료	70				
								
72	맥스	제 가게에 잘 오셨습니다. 뭐 필요한 게 있으신지?	선택지		19	3		
73	맥스							선택지 표시 라인
74	맥스	천천히 둘러보세요.	상점	72				선택지: 재고를 한 번 보고싶어.
								
75	맥스	이전에 생존연합 상인이 주기적으로 방문했었는데 <br>요즘은 방문이 뜸해졌어요.						선택지: 요즘 들리는 소문이라도 있나?
76	맥스	"소문으로는 베카에 무슨 일이 생겼다고 그러던데, 직접 가 본 사람이<br> 아직 없어서 왜 그런지는 모르겠더군요."						
77	맥스	혹시 다른 볼 일이라도?	선택지		19	3		
78	맥스							
								선택지: 딱히 없네.
79	맥스	그럼 필요할때 또 와주세요.	종료	70				
								
80	콜의 집	문이 잠겨있다.	퀘스트갱신				1	
81	콜의 집	문에는 약간의 흠집이 있다.	선택지		22	3		콜의 집
82	콜의 집							선택지 표시 라인
83	콜의 집	일단 놔뒀다.	종료	80				
84	콜의 집	문이 열렸다.	잠금해제	84				
								
85	콜의 집	창문은 굳게 잠겨있어 못들어갈 것 같다.	종료	80				
								
86	콜의 집	문은 여전히 잠겨있다.	종료	80				
								
87	콜의 시체	콜은 죽은 것처럼 보인다.	퀘스트갱신				1	
88	???	너도 곧 죽여주지!!	종료	88				
								
								
89	샌들리 시장	어서오세요. 무슨 볼일이라도?	선택지		25	4		
90	샌들리 시장							
91	샌들리 시장	여기는 샌들리입니다. 근처에 마실 물과 상점이 있습니다. <br>천천히 둘러보다 가세요.						선택지(이곳에 대해 알려줄 수 있나?)
92	샌들리 시장	더 물어보실 말씀이라도 있으신지?	선택지		25	4		
93	샌들리 시장							
94	샌들리 시장	이곳은 전쟁 전에는 모래밭이 있는 계곡이었다고 하더군요. <br>아마 그래서 전 시장이 샌들리라고 이름을 붙인것 같습니다.						왜 이름이 샌들리인가?
95	샌들리 시장	혹시 더 궁금하신게 있으신지?	선택지		25	4		
96	샌들리 시장							
97	샌들리 시장	실은... 최근들어 남서쪽에 있는 수원지에 '쏜'들이 자라나서 골치입니다.						무슨 일거리라도 없나?
98	샌들리 시장	물을 풍족하게 얻으려면 수원지로 가야하는데 그녀석들 때문에 사람들이 다치곤 합니다. <br>혹시 쏜들을 처리해주실수 있을까요?	선택지		29	2		
99	샌들리 시장							
100	샌들리 시장	감사합니다. 쏜은 남서쪽에 있는 모래 수원지에 있습니다.	퀘스트수주				2	
101	샌들리 시장	한놈도 남김없이 다 없애주시면 보상은 넉넉히 드리겠습니다. <br>그럼 조심하세요.	종료	104				
								
102	샌들리 시장	아쉽군요... 혹시라도 생각이 바뀌신다면 다시 찾아와주세요.	종료	89				
								
103	샌들리 시장	그럼 필요할때 다시 찾아주세요.	종료	89				
								
104	샌들리 시장	어서오세요. 무슨 볼일이라도?	선택지		31	4		비고: 쏜 오브 비치 퀘스트 수주 이후
105	샌들리 시장							
106	샌들리 시장	여기는 샌들리입니다. 근처에 마실 물과 상점이 있습니다. <br>천천히 둘러보다 가세요.						선택지(이곳에 대해 알려줄 수 있나?)
107	샌들리 시장	더 물어보실 말씀이라도 있으신지?	선택지		31	4		
108	샌들리 시장							
109	샌들리 시장	이곳은 전쟁 전에는 모래밭이 있는 계곡이었다고 하더군요. <br>아마 그래서 전 시장이 샌들리라고 이름을 붙인것 같습니다.						왜 이름이 샌들리인가?
110	샌들리 시장	혹시 더 궁금하신게 있으신지?	선택지		31	4		
111	샌들리 시장							
112	샌들리 시장	오! 사람들이 수원지에 있던 쏜이 사라졌다고 하더군요. 정말<br>감사합니다.	퀘스트갱신				2	쏜을 다 처리했어.(성공)
113	샌들리 시장	보답으로 메탈에 더해서 탄약과 상점에서 파는 물건도 몇 개 드리겠습니다.	아이템					
114	샌들리 시장	마을에 도움을 주셔서 정말 감사합니다. <br>샌들리는 당신같은 사람을 언제든 환영합니다.	종료	117				
								
115	샌들리 시장	사람들이 아직 쏜이 남아있다고 하더군요.. 쏜을 전부 다 처리<br>해주시면 사람들에게 도움이 될겁니다.	종료	104				쏜을 다 처리했어.(미완료시)
								
116	샌들리 시장	그럼 필요할때 다시 찾아주세요.	종료	104				
								
117	샌들리 시장	오! 저희 마을에 도움을 주신 분이로군요. <br>용건이라도 있으신가요?	선택지		31	3		비고: 쏜 오브 비치 클리어 이후
118	샌들리 시장							
119	샌들리 시장	여기는 샌들리입니다. 근처에 마실 물과 상점이 있습니다. <br>언제든 들러주세요.						
120	샌들리 시장	더 물어보실 말씀이라도 있으신지?	선택지		31	3		
121	샌들리 시장							
122	샌들리 시장	이곳은 전쟁 전에는 모래밭이 있는 계곡이었다고 하더군요. <br>아마 그래서 전 시장이 샌들리라고 이름을 붙인것 같습니다.						
123	샌들리 시장	혹시 더 궁금하신게 있으신지?	선택지		31	3		
124	샌들리 시장							
								
125	샌들리 시장	편히 쉬다 가시고 필요할때 언제든지 와주세요.	종료	117				
								
126	표지판	→: 베카 / ↑: 샌들리	종료	126				
								
								
127	베카 갱	이봐. 지나가려면 통행세를 내셔야지.	선택지		38	3		
128	베카 갱							선택지 표시 라인
129	베카 갱	헤헤.. 지나가라~ 머저리~	종료페이드	129				
								
130	베카 갱	내기 싫다고? 넌 좀 맞자.	종료	130				
								
131	베카 갱	뭐.. 뭐라고!?	전투	131				선택지(날 죽이고 가져가 봐.)
								
132	베카 주민	여긴 갱들 때문에 하루도 편한 날이 없어요...	종료	132				
								
133	베카 갱	뭐야? 방해하지 말고 꺼져!	종료	133				
								
134	베카 주민	이럴 줄 알았으면 ''에 계속 있는 거였는데...	종료	134				
								
135	베카 주민	아웃랜드 북서쪽에 전쟁 전에 쓰이던 공항이 있다더군.	종료	135				
								
136	베카 주민	여긴 갱들 때문에 하루도 편한 날이 없어요...	종료	136				
								
137	베카 주민	여긴 갱들 때문에 하루도 편한 날이 없어요...	종료	137				
								
138	베카 주민	여긴 갱들 때문에 하루도 편한 날이 없어요...	종료	138				
								
139	베카 주민	여긴 갱들 때문에 하루도 편한 날이 없어요...	종료	139				
								
140	베카 주민	여긴 갱들 때문에 하루도 편한 날이 없어요...	종료	140				
								
141	보안관 레베카	또 시비털러 온 거야? 아님 멍청한 질문하러 온 거야?	선택지		41	3		
142	보안관 레베카							
143	보안관 레베카	하... 이방인이었군. 초면에 껄렁대서 미안하군. <br>저 밖에 갱단놈들 보이지?						
144	보안관 레베카	저놈들은 '베카 갱'이야. 원래는 그냥 동네 양아치들이었는데 갑자기 수가 늘어나더니<br>이젠 대놓고 여길 접수하려고 하고 있어.						
145	보안관 레베카	일단 주민들에게 상납금을 뜯고있는데 조만간 큰 일이 벌어질 것 같아. <br>그 전에 손을 쓰고 싶은데 나 혼자로는 택도 없어.						
146	보안관 레베카	혹시 나와 함께 저놈들을 몰아낼 생각 없나?						
147	보안관 레베카		선택지		41	3		
148	보안관 레베카	듣기 좋은 대답이군. 그럼 내 계획을 알려주지.	스킵	150				
149	보안관 레베카	하하! 간만에 듣기 좋은 소리로군. 마음에 들었어.						
150	보안관 레베카	내 계획은 이거야. 저놈들은 북동쪽에 있는 통조림 공장에서 죽치고 있어. <br>그리고 리더는 '중위'라는 놈이지.	퀘스트수주				3	
151	보안관 레베카	베카 갱은 순전히 중위의 리더십에 의존하고 있어. 그러니까 <br>리더인 중위만 어떻게 처리하면 된다는 거지.						
152	보안관 레베카	베카 갱은 순전히 중위의 리더십에 의존하고 있어. 그러니까 <br>리더인 중위만 어떻게 처리하면 된다는 거지.						
153	보안관 레베카	베카 갱은 순전히 중위의 리더십에 의존하고 있어. 그러니까 <br>리더인 중위만 어떻게 처리하면 된다는 거지.						
154	보안관 레베카	베카 갱은 순전히 중위의 리더십에 의존하고 있어. 그러니까 <br>리더인 중위만 어떻게 처리하면 된다는 거지.						
								
								
								
								
								
155	중위	여기에 제발로 들어오다니... 넌 외지인이로군. <br>여기 온 목적이 뭐지?	선택지		46	2		
156	중위							
157	중위	어떻게 내 이름을 알고 있는 거지? 맞아. 내가 중위다.						네가 중위인가?
158	중위	네 질문에 답해줬으니 너도 내 질문에 답해줘야겠군. <br>여기 온 목적이 뭐지?	선택지		48	5		
159	중위							
160	중위	아~ 콜. 그 친구가 내 심기를 건드려서 말이야.						샌들리에 있는 콜을 죽인 이유가 뭐지?
161	중위	그런데 너도 내 심기를 건드렸어. <br>얘들아!!	종료기습	161				
								
162	중위	폴아웃 1의 중위에서 따왔다 이 자시가~(문세윤)						왜 이름이 중위지?
163	중위	여기서 잉여짓을 하고 있지.						여기서 뭐하는 거지?
164	중위	나를? 내 부하들로 둘러쌓인 곳에서 나를 죽이겠다고? <br>그럼 해봐.	종료	164				널 죽이러 왔지.(공격)
								
165	중위	용건 없으면 조용히 나가는 게 좋을 거야.	종료	165				사람을 잘못 봤군. 용건은 없어.
								
166	중위	넌 이 마을 주민이 아니지. 그런 이유로 너에게 하나 제안을 하지.						
167	중위	이 마을 경찰서에 '레베카'라는 년이 있어. 그년이 베카의 보안관이지.						
168	중위	하지만 레베카는 그냥 보안관을 자처하는 류의 놈팽이가 아냐. 처음에 이 마을에 보낸 <br>갱들의 머리에 구멍을 뚫은 것도 그년이지.						
169	중위	그래도 머리수로 밀어붙이니까 알아서 조용해 지더군. 근데 아직도 이 마을에 있는게<br>심기가 많~이 불편하단 말이야...						
170	중위	네가 저년을 죽이던가 쫒아내주면 보상은 두둑하게 해주지. <br>어때?						
								
170	중위	내가 말했었지만 저년에게 부하를 여러명 보냈지만 다 송장이 됬어.						부하들에게 시키지 그래?
170	중위	물론 지금은 머릿수로 치워버릴 수 있겠지만 희생없이 일을 처리하고 싶은게 <br>사람의 심리 아니겠어?						
								
170	중위	탁월한 선택이야 외지인. 그럼 난 여기서 기다리고 있을태니 레베카를 어떻게든 처리하면 <br>나에게 다시 와.						좋아. 하지.
								
170	중위	그년이? 이런 싸가지 없는 년!!						재밌군. 레베카는 너만 없어지면 된다는데?
170	중위	하지만 내게 그 정보를 알려줬다는 건... 나랑 같이 일하겠다는 의미로 받아들여도 되겠지?						
